power,Day,Time_of_Day,Location,Date
-102.318,4,3,0,03/01/24
-98.122,4,0,0,03/01/24
-101.688,4,1,0,03/01/24
-104.19,4,2,0,03/01/24
-101.38,5,3,0,03/02/24
-98.424,5,0,0,03/02/24
-101.067,5,2,0,03/02/24
-99.534,6,3,0,03/03/24
-103.384,6,0,0,03/03/24
-102.059,6,1,0,03/03/24
-104.082,6,2,0,03/03/24
-92.61,0,0,0,03/04/24
-102.321,0,1,0,03/04/24
-104.276,0,2,0,03/04/24
-104.357,1,3,0,03/05/24
-101.464,1,0,0,03/05/24
-104.447,1,1,0,03/05/24
-103.824,2,3,0,03/06/24
-102.562,2,0,0,03/06/24
-101.675,2,1,0,03/06/24
-104.376,2,2,0,03/06/24
-104.562,3,3,0,03/07/24
-103.804,3,1,0,03/07/24
-104.009,3,2,0,03/07/24
-104.56,4,3,0,03/08/24
-101.551,4,0,0,03/08/24
-103.73,4,1,0,03/08/24
-103.738,5,3,0,03/09/24
-102.935,5,0,0,03/09/24
-102.301,5,1,0,03/09/24
-104.681,5,2,0,03/09/24
-104.108,6,3,0,03/10/24
-104.186,6,1,0,03/10/24
-96.551,6,2,0,03/10/24
-102.125,0,3,0,03/11/24
-100.516,0,0,0,03/11/24
-103.441,0,1,0,03/11/24
-104.163,1,3,0,03/12/24
-104.221,1,0,0,03/12/24
-102.637,1,1,0,03/12/24
-103.803,1,2,0,03/12/24
-103.946,2,3,0,03/13/24
-103.869,2,0,0,03/13/24
-103.8,2,2,0,03/13/24
-103.685,3,3,0,03/14/24
-102.387,3,0,0,03/14/24
-102.678,3,1,0,03/14/24
-103.701,3,2,0,03/14/24
-103.476,4,0,0,03/15/24
-103.936,4,1,0,03/15/24
-103.735,4,2,0,03/15/24
-104.103,5,3,0,03/16/24
-104.465,5,0,0,03/16/24
-104.48,5,2,0,03/16/24
-103.48,6,3,0,03/17/24
-104.293,6,0,0,03/17/24
-103.085,6,1,0,03/17/24
-104.572,0,3,0,03/18/24
-103.796,0,0,0,03/18/24
